Song Name,Year,Artist,Genre,Rating,Mood,Play Count,Album,Duration,Language,Tempo,Energy,Danceability,Valence,Acousticness,Speechiness
Sun and Rush (K-Pop),2023,BLACKPINK,K-Pop,4.86,Romantic,15,BLACKPINK Sessions Vol. 5,257,Korean,94.8,0.548,0.654,0.853,0.245,0.151
Feel the Stars,1999,Yiruma,Classical,4.3,Calm,208,Yiruma Sessions Vol. 3,274,Instrumental,81.4,0.43,0.0,0.179,0.838,0.04
Gravity in Silence,2017,Shreya Ghoshal,Bollywood,4.22,Romantic,13,Ghoshal Sessions Vol. 4,179,Hindi,124.6,0.691,0.807,0.683,0.33,0.088
Horizon of Sun (Bollywood),2025,Sonu Nigam,Bollywood,4.11,Happy,84,Nigam Sessions Vol. 3,262,Hindi,124.7,0.653,0.634,0.834,0.517,0.117
Home of Waves,2017,Phoebe Bridgers,Indie,3.5,Chill,9,Bridgers Sessions Vol. 1,162,English,107.7,0.466,0.653,0.64,0.379,0.127
Night to Moon (Indie),2010,Lorde,Indie,3.86,Happy,8,Lorde Sessions Vol. 5,229,English,84.6,0.667,0.445,1.0,0.5,0.013
Glow and Roads,2010,Yiruma,Classical,4.67,Calm,5,Yiruma Sessions Vol. 5,215,Instrumental,66.7,0.013,0.131,0.602,0.877,0.0
Waves in Home,2007,Arijit Singh,Bollywood,3.9,Chill,5,Singh Sessions Vol. 6,178,Hindi,105.3,0.812,0.674,0.54,0.285,0.085
Paradise with Night,1999,Rosalía,Latin,3.6,Calm,37,Rosalía Sessions Vol. 3,211,Spanish,105.7,0.657,0.997,0.34,0.192,0.066
Paradise the Paradise,1994,Sonu Nigam,Bollywood,3.95,Energetic,23,Nigam Sessions Vol. 2,178,Hindi,127.1,0.683,0.637,0.584,0.001,0.104
Rush of Moon,2007,Drake,Hip-Hop,4.16,Happy,9,Drake Sessions Vol. 6,194,English,106.2,0.896,0.671,0.504,0.0,0.164
Paradise for Alone,2003,Max Richter,Classical,3.81,Melancholic,11,Richter Sessions Vol. 3,180,Instrumental,65.4,0.442,0.15,0.405,0.893,0.043
Heart for Run,1995,Shakira,Latin,4.11,Happy,8,Shakira Sessions Vol. 3,203,Spanish,104.4,0.611,0.827,0.764,0.207,0.07
Heart with Moon,2020,Bad Bunny,Latin,4.12,Energetic,13,Bunny Sessions Vol. 2,183,Spanish,124.6,0.708,0.633,0.553,0.109,0.128
Hold the Run,2001,Arijit Singh,Bollywood,5.0,Energetic,4,Singh Sessions Vol. 3,230,Hindi,115.1,0.815,0.661,0.473,0.215,0.091
Sky of Gravity,2023,BLACKPINK,K-Pop,3.55,Happy,199,BLACKPINK Sessions Vol. 2,182,Korean,117.6,0.783,0.809,0.686,0.243,0.155
Hold of Night,1999,Marshmello,Electronic,4.17,Energetic,35,Marshmello Sessions Vol. 5,163,Instrumental,136.8,0.807,0.902,0.491,0.069,0.035
Forever for Memories,1992,Sonu Nigam,Bollywood,3.52,Chill,32,Nigam Sessions Vol. 5,275,Hindi,135.7,0.456,0.638,0.539,0.367,0.0
Echoes of Moon (Rock),2005,Coldplay,Rock,4.49,Chill,13,Coldplay Sessions Vol. 2,159,English,128.1,0.646,0.417,0.637,0.307,0.085
Love for Sky (Jazz),2000,Jamie Cullum,Jazz,4.22,Melancholic,49,Cullum Sessions Vol. 6,237,Instrumental,99.4,0.499,0.403,0.47,0.751,0.006
Roads to Sky (Jazz),2003,Kamasi Washington,Jazz,3.7,Romantic,21,Washington Sessions Vol. 5,213,English,107.4,0.597,0.475,0.827,0.908,0.078
Light the Again,2023,The 1975,Indie,3.55,Sad,24,1975 Sessions Vol. 2,184,English,125.3,0.657,0.527,0.348,0.465,0.069
Rush the Dance (K-Pop),2001,BLACKPINK,K-Pop,4.4,Happy,12,BLACKPINK Sessions Vol. 4,215,Korean,136.1,0.82,0.607,0.784,0.0,0.097
Glow with River,2010,Kanye West,Hip-Hop,4.05,Happy,22,West Sessions Vol. 5,190,English,93.8,0.834,0.682,0.637,0.05,0.365
Feel for Light,2016,The 1975,Indie,4.5,Calm,19,1975 Sessions Vol. 4,203,English,110.3,0.605,0.627,0.28,0.764,0.11
Again to Feel,1991,Travis Scott,Hip-Hop,4.49,Romantic,4,Scott Sessions Vol. 5,144,English,100.3,0.911,0.673,0.687,0.188,0.147
Kamasi's Forever with Waves,1990,Kamasi Washington,Jazz,3.79,Melancholic,29,Washington Sessions Vol. 6,213,English,87.7,0.354,0.543,0.39,0.553,0.036
Memories of Dance,1990,Red Hot Chili Peppers,Rock,3.63,Energetic,12,Peppers Sessions Vol. 3,183,English,78.7,0.765,0.472,0.206,0.139,0.028
Sonu's Dreams of Again,2006,Sonu Nigam,Bollywood,4.35,Chill,40,Nigam Sessions Vol. 3,239,Hindi,122.4,0.608,0.752,0.577,0.169,0.092
Echoes of Alone,2025,Shreya Ghoshal,Bollywood,3.82,Chill,21,Ghoshal Sessions Vol. 5,274,Hindi,124.0,0.749,0.509,0.489,0.216,0.045
Storm with Paradise (Jazz),2008,Kamasi Washington,Jazz,5.0,Romantic,131,Washington Sessions Vol. 1,229,English,79.4,0.421,0.21,0.861,0.737,0.075
Moon and Home,2014,Kamasi Washington,Jazz,3.93,Sad,9,Washington Sessions Vol. 6,207,Instrumental,92.4,0.357,0.321,0.252,0.424,0.037
Alone of Feel (Hip-Hop),1994,Kanye West,Hip-Hop,5.0,Happy,81,West Sessions Vol. 6,185,English,80.4,0.778,0.842,0.694,0.141,0.215
Roads in Sky,2018,Olivia Rodrigo,Pop,4.2,Happy,11,Rodrigo Sessions Vol. 6,217,English,116.1,0.832,0.892,0.514,0.387,0.125
River for Sun,2014,Zedd,Electronic,4.54,Happy,15,Zedd Sessions Vol. 2,185,Instrumental,107.0,0.912,0.918,0.811,0.079,0.069
Home the Run (Jazz),2014,Jamie Cullum,Jazz,4.26,Melancholic,19,Cullum Sessions Vol. 4,235,English,88.5,0.44,0.434,0.409,0.624,0.085
Dreams the Sun (K-Pop),2018,SEVENTEEN,K-Pop,4.46,Motivational,32,SEVENTEEN Sessions Vol. 6,166,Korean,99.5,0.789,0.539,0.582,0.255,0.061
Roads in Run,1990,Max Richter,Classical,3.63,Romantic,28,Richter Sessions Vol. 5,186,Instrumental,97.4,0.441,0.108,0.785,0.84,0.003
River the Home,2025,Avicii,Electronic,5.0,Sad,31,Avicii Sessions Vol. 4,188,English,85.1,0.681,0.692,0.302,0.023,0.062
Gravity and Moon,1993,A.R. Rahman,Bollywood,5.0,Energetic,7,Rahman Sessions Vol. 5,161,Hindi,114.3,0.769,0.84,0.543,0.328,0.036
Dreams and Sun,2010,The Weeknd,Pop,3.91,Sad,8,Weeknd Sessions Vol. 5,232,English,119.6,0.557,0.77,0.403,0.0,0.136
Glow to Feel,2015,Calvin Harris,Electronic,5.0,Sad,21,Harris Sessions Vol. 3,187,Instrumental,140.1,0.707,0.752,0.384,0.056,0.032
Forever with Love,2024,The Weeknd,Pop,4.62,Chill,54,Weeknd Sessions Vol. 1,208,English,99.6,0.625,0.482,0.585,0.0,0.11
Moon and Glow,1998,Yiruma,Classical,3.18,Calm,10,Yiruma Sessions Vol. 5,210,Instrumental,92.5,0.26,0.192,0.413,0.866,0.008
Waves the Hold,2013,Olivia Rodrigo,Pop,4.38,Chill,6,Rodrigo Sessions Vol. 5,224,English,101.4,0.446,0.802,0.633,0.169,0.112
Lorde's Dreams of Gravity,1996,Lorde,Indie,4.14,Energetic,104,Lorde Sessions Vol. 2,198,English,116.6,0.885,0.666,0.27,0.044,0.059
TWICE's Moon and Forever,2016,TWICE,K-Pop,4.03,Energetic,85,TWICE Sessions Vol. 5,291,Korean,124.3,0.705,0.659,0.449,0.027,0.133
Forever of Gravity,2009,Rosalía,Latin,3.44,Happy,31,Rosalía Sessions Vol. 3,193,Spanish,109.0,0.838,0.725,1.0,0.03,0.16
Again for Echoes,2016,Red Hot Chili Peppers,Rock,3.82,Calm,5,Peppers Sessions Vol. 4,230,English,110.1,1.0,0.699,0.589,0.0,0.108
Dance of Rush,1999,Rosalía,Latin,4.48,Happy,35,Rosalía Sessions Vol. 6,161,Spanish,126.0,0.889,0.773,0.879,0.267,0.129
Memories to Stars,2000,Coldplay,Rock,4.95,Sad,18,Coldplay Sessions Vol. 2,247,English,148.9,0.879,0.488,0.671,0.185,0.0
Memories the Paradise,1993,Diana Krall,Jazz,3.88,Chill,8,Krall Sessions Vol. 5,200,English,102.1,0.608,0.308,0.458,0.579,0.011
Roads for Fire,2014,Olivia Rodrigo,Pop,4.35,Chill,2,Rodrigo Sessions Vol. 5,239,English,114.6,0.554,0.9,0.478,0.237,0.086
Foo's Sun with Glow,2007,Foo Fighters,Rock,4.48,Energetic,25,Fighters Sessions Vol. 5,246,English,87.6,0.766,0.888,0.325,0.007,0.089
Feel of Love (Pop),2014,The Weeknd,Pop,4.09,Happy,33,Weeknd Sessions Vol. 4,242,English,127.6,0.74,0.973,0.954,0.305,0.174
Rush to Hold,2013,Ludovico Einaudi,Classical,3.79,Melancholic,96,Einaudi Sessions Vol. 1,268,Instrumental,88.1,0.195,0.353,0.317,0.881,0.026
Hold and Light,2025,Sonu Nigam,Bollywood,4.24,Calm,16,Nigam Sessions Vol. 3,244,Hindi,109.9,0.309,0.792,0.607,0.548,0.014
Sun and Light,1993,Zedd,Electronic,4.48,Happy,31,Zedd Sessions Vol. 6,252,English,137.6,0.843,0.88,0.716,0.127,0.047
Paradise with Waves,1993,TWICE,K-Pop,4.52,Calm,6,TWICE Sessions Vol. 6,187,Korean,114.9,0.659,0.742,0.534,0.43,0.123
Horizon with Gravity,1991,Ariana Grande,Pop,4.52,Romantic,697,Grande Sessions Vol. 6,261,English,114.8,0.572,0.538,0.748,0.0,0.0
Roads the Glow,1995,Coldplay,Rock,3.74,Energetic,14,Coldplay Sessions Vol. 4,260,English,123.4,1.0,0.423,0.455,0.058,0.105
Calvin's Stars of Moon,2017,Calvin Harris,Electronic,4.67,Calm,42,Harris Sessions Vol. 2,178,English,113.6,0.933,0.89,0.513,0.035,0.068
Silence and Hold,1996,Bad Bunny,Latin,4.62,Chill,6,Bunny Sessions Vol. 4,240,Spanish,123.2,0.629,0.539,0.456,0.075,0.013
Run of Light,1991,SEVENTEEN,K-Pop,4.9,Energetic,41,SEVENTEEN Sessions Vol. 5,223,Korean,125.7,0.792,0.893,0.456,0.32,0.136
Glow of Alone,2012,The Weeknd,Pop,4.43,Energetic,176,Weeknd Sessions Vol. 2,201,English,113.1,0.813,0.72,0.313,0.434,0.077
Waves to Hold,2017,Avicii,Electronic,3.43,Chill,52,Avicii Sessions Vol. 5,154,Instrumental,115.5,0.637,0.784,0.582,0.037,0.026
Heart for Hold (Jazz),1998,Diana Krall,Jazz,3.67,Calm,23,Krall Sessions Vol. 4,202,English,96.4,0.0,0.406,0.664,1.0,0.0
River of Love,2009,J. Cole,Hip-Hop,4.45,Energetic,45,Cole Sessions Vol. 5,234,English,111.1,0.847,0.786,0.462,0.0,0.49
Stars for Heart,2001,Kanye West,Hip-Hop,3.4,Energetic,6,West Sessions Vol. 2,235,English,86.9,0.722,0.886,0.573,0.121,0.302
Waves and Sun,2013,BLACKPINK,K-Pop,4.26,Melancholic,70,BLACKPINK Sessions Vol. 2,224,Korean,128.1,0.455,0.711,0.494,0.463,0.11
Sky the Gravity,2010,Calvin Harris,Electronic,4.48,Motivational,78,Harris Sessions Vol. 5,187,English,120.0,0.701,0.637,0.638,0.062,0.056
Heart in Feel,2005,David Guetta,Electronic,4.44,Melancholic,29,Guetta Sessions Vol. 5,258,Instrumental,113.4,0.673,0.754,0.238,0.031,0.011
Roads with Waves,2016,Ariana Grande,Pop,4.79,Romantic,22,Grande Sessions Vol. 2,247,English,130.8,0.53,0.589,0.796,0.254,0.024
Dance and Love,2002,The 1975,Indie,4.68,Sad,58,1975 Sessions Vol. 1,287,English,83.7,0.698,0.422,0.347,0.339,0.107
Stars of Echoes,2014,The Weeknd,Pop,4.44,Sad,283,Weeknd Sessions Vol. 2,191,English,93.6,0.677,0.613,0.642,0.154,0.057
Memories in Dance (Jazz),1990,Diana Krall,Jazz,4.6,Romantic,38,Krall Sessions Vol. 6,292,English,85.2,0.358,0.468,0.862,0.446,0.066
Storm of Heart,2019,Coldplay,Rock,5.0,Happy,90,Coldplay Sessions Vol. 6,144,English,128.0,0.702,0.577,0.659,0.181,0.0
Fire for River (Bollywood),2012,Sonu Nigam,Bollywood,4.16,Happy,49,Nigam Sessions Vol. 5,199,Hindi,114.8,0.81,0.66,0.505,0.23,0.046
Sun with River,1990,Phoebe Bridgers,Indie,3.85,Melancholic,8,Bridgers Sessions Vol. 3,244,English,87.0,0.675,0.709,0.188,0.284,0.035
Sun for Night,2002,Travis Scott,Hip-Hop,3.75,Motivational,3,Scott Sessions Vol. 2,175,English,84.9,0.709,0.764,0.562,0.0,0.513
Arctic's Feel in River,2009,Arctic Monkeys,Indie,4.37,Motivational,44,Monkeys Sessions Vol. 3,175,English,102.3,0.691,0.649,0.427,0.345,0.106
Alone the Alone,2002,The 1975,Indie,4.87,Sad,8,1975 Sessions Vol. 3,269,English,131.5,0.626,0.52,0.259,0.349,0.111
Forever in Forever (Latin),2013,Shakira,Latin,3.34,Romantic,14,Shakira Sessions Vol. 6,165,Spanish,97.7,0.701,0.72,0.571,0.194,0.079
Forever for Love,2009,SEVENTEEN,K-Pop,5.0,Happy,23,SEVENTEEN Sessions Vol. 4,273,Korean,120.0,0.738,0.716,0.811,0.385,0.186
Rush to Alone (Pop),1991,Taylor Swift,Pop,3.42,Sad,35,Swift Sessions Vol. 4,190,English,111.8,0.867,0.796,0.664,0.295,0.087
Roads to Waves,2003,Arijit Singh,Bollywood,4.45,Chill,37,Singh Sessions Vol. 6,255,Hindi,127.9,0.517,0.78,0.228,0.316,0.074
Waves in Run,2001,Shreya Ghoshal,Bollywood,4.5,Romantic,17,Ghoshal Sessions Vol. 4,202,Hindi,109.4,0.516,0.633,0.783,0.109,0.014
Stars of Sky,1995,Foo Fighters,Rock,4.58,Energetic,166,Fighters Sessions Vol. 2,279,English,119.1,0.668,0.612,0.615,0.262,0.089
Hold of Sky,2014,Olivia Rodrigo,Pop,4.17,Calm,2,Rodrigo Sessions Vol. 3,233,English,116.6,0.742,0.632,0.479,0.214,0.064
Echoes the Rush (Electronic),1990,Marshmello,Electronic,4.33,Chill,44,Marshmello Sessions Vol. 1,196,Instrumental,86.7,0.598,0.631,0.6,0.058,0.05
Home in Home,2000,Marshmello,Electronic,3.82,Happy,178,Marshmello Sessions Vol. 4,201,Instrumental,106.8,0.733,0.946,0.374,0.088,0.027
Again in Heart,2008,SEVENTEEN,K-Pop,4.28,Calm,13,SEVENTEEN Sessions Vol. 2,144,Korean,116.8,0.741,0.744,0.592,0.33,0.094
Again with Rush,2017,BLACKPINK,K-Pop,4.0,Energetic,6,BLACKPINK Sessions Vol. 3,202,Korean,100.3,0.762,0.66,0.409,0.061,0.0
Dreams to Roads,2023,Nicki Minaj,Hip-Hop,4.8,Happy,8,Minaj Sessions Vol. 2,225,English,89.9,0.633,0.823,0.76,0.176,0.231
Silence the Hold,1994,Ludovico Einaudi,Classical,3.75,Melancholic,19,Einaudi Sessions Vol. 5,226,Instrumental,62.7,0.342,0.338,0.359,0.983,0.0
Roads the Sky,2003,Arijit Singh,Bollywood,4.46,Sad,35,Singh Sessions Vol. 5,194,Hindi,131.3,0.734,0.641,0.655,0.426,0.003
Hold with Love,2008,BLACKPINK,K-Pop,4.39,Chill,77,BLACKPINK Sessions Vol. 2,162,Korean,120.6,0.619,0.866,0.58,0.113,0.07
Light in Alone,2009,A.R. Rahman,Bollywood,3.85,Calm,16,Rahman Sessions Vol. 3,218,Hindi,137.5,0.908,0.586,0.593,0.25,0.041
Love the Night,2012,Red Hot Chili Peppers,Rock,3.38,Energetic,9,Peppers Sessions Vol. 6,181,English,82.8,0.927,0.589,0.595,0.081,0.019
Hold in Memories,1993,David Guetta,Electronic,4.4,Energetic,25,Guetta Sessions Vol. 3,236,English,120.8,1.0,0.857,0.52,0.106,0.0
Run for Echoes,2003,Ariana Grande,Pop,3.99,Melancholic,34,Grande Sessions Vol. 6,162,English,80.5,0.391,0.841,0.368,0.189,0.132
Sun to Moon,2015,David Guetta,Electronic,4.36,Calm,18,Guetta Sessions Vol. 1,256,English,113.2,0.787,0.662,0.54,0.0,0.06
Travis's Silence in Memories,2004,Travis Scott,Hip-Hop,4.76,Energetic,11,Scott Sessions Vol. 4,164,English,82.5,0.816,0.581,0.426,0.065,0.147
Rush in Again,2015,Bad Bunny,Latin,4.17,Happy,74,Bunny Sessions Vol. 1,218,Spanish,116.3,1.0,0.87,0.95,0.007,0.0
Fire the Storm (Bollywood),2005,Sonu Nigam,Bollywood,4.61,Happy,51,Nigam Sessions Vol. 1,199,Hindi,113.9,0.649,0.883,0.813,0.461,0.044
Alone with Roads,2012,Nicki Minaj,Hip-Hop,4.92,Energetic,40,Minaj Sessions Vol. 3,226,English,97.3,0.795,0.723,0.306,0.035,0.378
Fire for Glow,2015,Rosalía,Latin,3.97,Romantic,96,Rosalía Sessions Vol. 3,178,Spanish,107.6,0.512,0.8,0.788,0.042,0.11
River the Heart,2011,Sonu Nigam,Bollywood,3.55,Romantic,12,Nigam Sessions Vol. 5,215,Hindi,99.5,0.587,0.823,0.828,0.534,0.044
Again the Alone,2007,Ariana Grande,Pop,3.54,Calm,30,Grande Sessions Vol. 1,198,English,120.0,0.33,0.626,0.596,0.11,0.119
Heart with Storm (Latin),2024,Rosalía,Latin,3.89,Energetic,12,Rosalía Sessions Vol. 1,249,Spanish,103.2,0.892,0.648,0.383,0.104,0.085
Dreams of Night (Hip-Hop),1994,Travis Scott,Hip-Hop,4.1,Happy,6,Scott Sessions Vol. 3,198,English,108.7,0.81,0.741,0.906,0.256,0.341
Home to Hold,2017,Diana Krall,Jazz,3.31,Sad,36,Krall Sessions Vol. 3,245,English,96.4,0.256,0.593,0.256,0.793,0.024
Memories for Dreams,2006,Zedd,Electronic,4.1,Motivational,5,Zedd Sessions Vol. 6,235,English,128.0,0.749,0.98,0.572,0.047,0.001
Storm of Rush (Classical),2021,Ludovico Einaudi,Classical,3.17,Calm,5,Einaudi Sessions Vol. 2,249,Instrumental,90.3,0.375,0.241,0.472,0.916,0.025
Feel in Storm,2013,Red Hot Chili Peppers,Rock,4.89,Energetic,61,Peppers Sessions Vol. 2,243,English,143.9,0.77,0.645,0.342,0.122,0.0
Storm in Hold,1991,Imagine Dragons,Rock,3.79,Happy,11,Dragons Sessions Vol. 6,226,English,88.1,0.577,0.533,0.376,0.101,0.094
Love the Night,2015,Jamie Cullum,Jazz,3.81,Chill,18,Cullum Sessions Vol. 4,178,Instrumental,73.3,0.479,0.315,0.645,0.644,0.019
Again in Storm,2023,Phoebe Bridgers,Indie,4.32,Melancholic,6,Bridgers Sessions Vol. 6,138,English,104.3,0.486,0.731,0.306,0.467,0.093
Memories for Gravity,1996,Max Richter,Classical,4.22,Calm,34,Richter Sessions Vol. 3,235,Instrumental,91.7,0.382,0.211,0.59,0.884,0.051
Dreams the Again,2002,Calvin Harris,Electronic,3.51,Happy,16,Harris Sessions Vol. 5,232,English,109.1,0.796,0.791,0.977,0.054,0.049
Again with Rush,2019,Ed Sheeran,Pop,4.06,Melancholic,10,Sheeran Sessions Vol. 2,236,English,104.4,0.741,0.582,0.678,0.149,0.136
Feel and Storm,1997,Marshmello,Electronic,3.69,Romantic,2,Marshmello Sessions Vol. 4,204,Instrumental,116.1,0.859,0.958,0.545,0.08,0.038
Nicki's Waves the Moon,2011,Nicki Minaj,Hip-Hop,4.71,Chill,26,Minaj Sessions Vol. 1,265,English,88.6,0.707,0.8,0.607,0.139,0.176
Max's Alone with Hold (Classical),1993,Max Richter,Classical,4.79,Sad,124,Richter Sessions Vol. 2,141,Instrumental,75.0,0.349,0.228,0.269,0.948,0.014
Alone to Echoes,2001,Sonu Nigam,Bollywood,4.29,Energetic,73,Nigam Sessions Vol. 3,120,Hindi,112.3,0.67,0.703,0.6,0.557,0.027
Gravity with Light,2000,Marshmello,Electronic,3.63,Chill,10,Marshmello Sessions Vol. 1,237,Instrumental,108.4,0.71,0.814,0.507,0.0,0.084
Heart and Night (K-Pop),2023,SEVENTEEN,K-Pop,3.31,Happy,25,SEVENTEEN Sessions Vol. 1,222,Korean,103.3,0.785,1.0,0.886,0.225,0.049
Rush of Heart,2017,Hans Zimmer,Classical,4.34,Calm,10,Zimmer Sessions Vol. 2,178,Instrumental,84.1,0.285,0.203,0.568,0.839,0.002
Love of Again (Classical),2025,Max Richter,Classical,4.44,Sad,20,Richter Sessions Vol. 3,183,Instrumental,86.3,0.2,0.217,0.023,0.924,0.008
Silence and Memories,2014,Marshmello,Electronic,4.11,Energetic,3,Marshmello Sessions Vol. 6,218,Instrumental,120.3,0.89,0.789,0.444,0.041,0.018
Gravity with Again,1999,BLACKPINK,K-Pop,3.78,Happy,18,BLACKPINK Sessions Vol. 5,214,Korean,112.9,0.699,0.587,0.764,0.083,0.085
Stars with Paradise,2012,Marshmello,Electronic,4.4,Energetic,2,Marshmello Sessions Vol. 3,165,English,157.0,0.816,0.882,0.458,0.0,0.027
Again with Alone,2005,Rosalía,Latin,4.37,Happy,151,Rosalía Sessions Vol. 2,234,Spanish,99.5,0.634,0.827,0.718,0.512,0.0
Dance to Sky,2003,Olivia Rodrigo,Pop,3.73,Chill,37,Rodrigo Sessions Vol. 2,157,English,101.5,0.629,0.827,0.532,0.193,0.044
Silence the Night,2003,TWICE,K-Pop,3.46,Happy,14,TWICE Sessions Vol. 6,224,Korean,118.6,0.805,0.79,0.893,0.293,0.102
Hold the Home (Latin),2012,Rosalía,Latin,5.0,Happy,3,Rosalía Sessions Vol. 2,174,Spanish,91.8,0.733,0.601,0.883,0.001,0.106
Silence with Hold,2005,Ludovico Einaudi,Classical,3.59,Melancholic,6,Einaudi Sessions Vol. 4,171,Instrumental,76.7,0.176,0.021,0.337,0.903,0.025
Glow in Sun,1995,Ludovico Einaudi,Classical,3.02,Melancholic,24,Einaudi Sessions Vol. 5,231,Instrumental,95.3,0.272,0.193,0.336,0.942,0.036
Gravity with River,2015,The 1975,Indie,3.71,Sad,28,1975 Sessions Vol. 6,259,English,147.5,0.717,0.54,0.683,0.559,0.06
Glow of Love,2019,Hans Zimmer,Classical,4.42,Sad,40,Zimmer Sessions Vol. 4,230,Instrumental,96.6,0.399,0.286,0.275,0.956,0.039
Forever of Horizon,2014,A.R. Rahman,Bollywood,3.31,Chill,8,Rahman Sessions Vol. 2,176,Hindi,115.3,0.578,0.684,0.58,0.292,0.081
Light for Sky (Classical),2016,Yiruma,Classical,4.08,Melancholic,17,Yiruma Sessions Vol. 3,214,Instrumental,65.8,0.477,0.192,0.398,0.937,0.001
Moon of Dreams,1994,Norah Jones,Jazz,4.56,Melancholic,37,Jones Sessions Vol. 6,276,Instrumental,106.6,0.398,0.54,0.397,0.707,0.03
Gravity to Memories,1994,Tame Impala,Indie,4.23,Chill,13,Impala Sessions Vol. 2,199,English,70.7,0.423,0.434,0.58,0.636,0.129
Silence of Dance,2006,Ed Sheeran,Pop,4.08,Motivational,21,Sheeran Sessions Vol. 3,174,English,103.6,0.844,0.659,0.596,0.156,0.164
Dreams of Echoes (Hip-Hop),2021,J. Cole,Hip-Hop,5.0,Energetic,46,Cole Sessions Vol. 1,154,English,95.3,0.949,0.843,0.341,0.025,0.254
Roads and Heart,2004,Ed Sheeran,Pop,4.07,Happy,12,Sheeran Sessions Vol. 1,176,English,143.0,0.639,0.698,0.817,0.332,0.097
Horizon with Home,1992,Bad Bunny,Latin,3.42,Chill,12,Bunny Sessions Vol. 4,167,Spanish,107.7,0.619,0.772,0.609,0.0,0.109
Roads in Waves,2011,Linkin Park,Rock,4.22,Motivational,140,Park Sessions Vol. 3,268,English,87.5,0.878,0.791,0.583,0.178,0.109
Roads with Memories,2017,Imagine Dragons,Rock,4.26,Chill,0,Dragons Sessions Vol. 6,239,English,114.4,0.682,0.452,0.472,0.264,0.05
Dreams to Light (Pop),1994,The Weeknd,Pop,3.62,Happy,174,Weeknd Sessions Vol. 1,186,English,132.5,0.938,0.935,0.879,0.073,0.079
Heart of Silence,2011,Kamasi Washington,Jazz,4.45,Happy,24,Washington Sessions Vol. 4,232,Instrumental,88.9,0.732,0.524,0.256,0.651,0.06
Night for Love (Latin),1999,Bad Bunny,Latin,3.98,Energetic,23,Bunny Sessions Vol. 4,200,Spanish,111.0,0.79,0.629,0.405,0.0,0.063
Dance to Memories,1990,Kendrick Lamar,Hip-Hop,4.16,Energetic,38,Lamar Sessions Vol. 6,175,English,110.6,0.709,0.825,0.539,0.116,0.384
Storm with Night (Bollywood),1995,Arijit Singh,Bollywood,3.99,Romantic,62,Singh Sessions Vol. 1,188,Hindi,131.8,0.561,0.726,0.781,0.334,0.011
Dance to Light,2007,Red Hot Chili Peppers,Rock,3.72,Energetic,38,Peppers Sessions Vol. 6,190,English,113.7,0.855,0.463,0.438,0.264,0.021
Feel to Silence,2006,Imagine Dragons,Rock,3.92,Happy,72,Dragons Sessions Vol. 4,191,English,140.9,0.804,0.77,0.785,0.293,0.025
Alone of Dreams,2021,Ariana Grande,Pop,3.91,Romantic,21,Grande Sessions Vol. 5,268,English,112.3,0.494,0.759,0.839,0.017,0.071
Fire the Heart,1998,Jamie Cullum,Jazz,5.0,Energetic,31,Cullum Sessions Vol. 6,297,Instrumental,89.7,0.529,0.473,0.692,0.69,0.045
Moon and Heart,1994,Kanye West,Hip-Hop,4.96,Chill,108,West Sessions Vol. 5,158,English,82.2,0.596,0.747,0.552,0.077,0.177
Memories the Stars,2020,Linkin Park,Rock,4.36,Energetic,19,Park Sessions Vol. 2,216,English,97.7,0.887,0.628,0.4,0.359,0.138
Sky with Stars,2000,Sonu Nigam,Bollywood,3.66,Melancholic,144,Nigam Sessions Vol. 1,271,Hindi,119.3,0.752,0.886,0.664,0.155,0.043
Memories for Stars,2015,Red Hot Chili Peppers,Rock,4.17,Happy,32,Peppers Sessions Vol. 3,204,English,113.0,0.736,0.523,0.81,0.0,0.122
Glow in Alone (Latin),2009,Shakira,Latin,4.35,Chill,47,Shakira Sessions Vol. 1,204,Spanish,91.9,0.562,0.676,0.587,0.356,0.114
Sky in Heart,2024,Nicki Minaj,Hip-Hop,4.52,Calm,14,Minaj Sessions Vol. 3,120,English,85.8,0.828,0.702,0.656,0.281,0.198
Storm with Light (Indie),2025,Phoebe Bridgers,Indie,4.05,Motivational,30,Bridgers Sessions Vol. 1,235,English,80.1,0.676,0.659,0.556,0.532,0.149
Horizon with Fire (Jazz),1990,Norah Jones,Jazz,4.14,Calm,63,Jones Sessions Vol. 5,265,Instrumental,87.6,0.254,0.529,0.521,0.854,0.003
Horizon for Echoes,2003,SEVENTEEN,K-Pop,4.33,Chill,34,SEVENTEEN Sessions Vol. 6,145,Korean,105.5,0.738,0.61,0.663,0.057,0.082
Love and Rush (Hip-Hop),2017,Kendrick Lamar,Hip-Hop,3.52,Happy,87,Lamar Sessions Vol. 5,208,English,89.1,0.713,0.488,0.777,0.134,0.047
Night with River,2007,Phoebe Bridgers,Indie,4.84,Sad,8,Bridgers Sessions Vol. 2,223,English,79.4,0.318,0.562,0.153,0.341,0.096
Moon in Horizon,2022,Rosalía,Latin,4.09,Chill,15,Rosalía Sessions Vol. 1,167,Spanish,104.3,0.58,0.788,0.673,0.039,0.02
Horizon with Waves (Indie),2008,Phoebe Bridgers,Indie,4.8,Happy,15,Bridgers Sessions Vol. 3,245,English,90.7,0.682,0.518,0.47,0.382,0.126
Silence for Stars,2005,A.R. Rahman,Bollywood,5.0,Melancholic,102,Rahman Sessions Vol. 6,245,Hindi,93.3,0.697,0.72,0.672,0.199,0.083
